prefix,count,zero_accuracy,tuned_accuracy,gain
what,3911,0.7775504985937101,0.833802096650473,0.05625159805676294
who,236,0.8305084745762712,0.8559322033898306,0.025423728813559365
how,184,0.75,0.8369565217391305,0.08695652173913049
other,176,0.7613636363636364,0.8863636363636364,0.125
is,162,0.9259259259259259,0.9938271604938271,0.0679012345679012
which,100,0.83,0.92,0.09000000000000008
where,89,0.797752808988764,0.9325842696629213,0.1348314606741573
