branch,setting,accuracy,consensus_accuracy,f1,bleu,meteor,rouge_l,judge
Prompt study,question routed,0.7582,0.7141333333333333,0.6794785640829758,0.1375780913377009,0.4639003604474501,0.7145038756015226,0.8725
Stress test,generation cap 12,0.7416,0.6952666666666667,0.6679923792873793,0.1553324378886307,0.4724620332709441,0.7026542538572539,0.8589
Prompt study,ocr copy first,0.74,0.6954666666666667,0.6719608579002697,0.14548758662933545,0.4710950300811742,0.7094878655005126,0.8701
Prompt study,baseline finalist,0.7308,0.6856,0.6637409145429733,0.1469500799854381,0.46939244154931464,0.6991874315227257,0.8541
Stress test,ocr cap 16,0.7302,0.6853333333333333,0.6632618846839435,0.1465620791173382,0.46890903711500154,0.6993886214439156,0.8571
Stress test,ocr cap 64,0.7284,0.6826666666666666,0.6627027760148348,0.14723872444313366,0.4686726486275202,0.6984121501374443,0.8404
Prompt study,answer format constrained,0.7166,0.6717333333333333,0.6472108180278614,0.139352330993132,0.45113239584369125,0.6845638526832645,0.8397
Stress test,generation cap 4,0.6476,0.6096666666666667,0.6176336774336775,0.07859414568792415,0.4324096739308283,0.6586506522235934,0.8021
